"run_id","run_seed","regime","total_manuscripts_spawned","majority_text","pct_sampled_witnesses_with_pa","pct_majority_disagree_autograph","pct_all_witnesses_with_pa","ideal_majority_text","pct_ideal_majority_disagree_autograph"
24,3151920837,"insertion",276692,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.001,0.0,0.00259495249213021,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
24,3151920837,"omission",276692,"1111111111111111111111111111111111111111111111111111411111111111111111111111111111111111111111111111",0.998,0.01,0.9954317270890632,"1111111111111111111111111111111111111111111111111111411111111111111111111111111111111111111111111111",0.01
25,483087119,"insertion",277085,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.004333333333333333,0.0,0.0026778882938026014,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
25,483087119,"omission",277085,"1111111111111111111111011111111111111111111111141111111111111111111111111111111111111111111111111111",1.0,0.02,0.9999963909861269,"1111111111111111111111011111111111111111111111141111111111111111111111111111111111111111111111111111",0.02
26,3693924977,"insertion",277114,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.018333333333333333,0.0,0.01626051466369315,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
26,3693924977,"omission",277114,"1111111111111111111111111111111111111111111111111111111111111111111111111111111112111111111111111111",0.9993333333333333,0.01,0.9975028237578172,"1111111111111111111111111111111111111111111111111111111111111111111111111111111112111111111111111111",0.01
27,2340135251,"insertion",277135,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6083627414896764e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
27,2340135251,"omission",277135,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.0,0.9999963916372585,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
28,47093210,"insertion",276798,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6127559185973835e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
28,47093210,"omission",276798,"1111111111111151111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.01,0.9999963872440814,"1111111111111151111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.01
